               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,             0.09365,            0.080998,            0.081352,            0.092851,             0.01386,           0.0053402,           0.0011372,            0.092766,            0.060457,             0.07808,            0.009307,            0.009307,            0.009307
                  72,            0.094076,            0.084853,             0.08141,           0.0035356,            0.025204,            0.004885,          0.00076428,            0.092837,            0.058638,            0.078617,           0.0092971,           0.0092971,           0.0092971
                  73,            0.093741,            0.087208,            0.079636,            0.005302,            0.026215,           0.0089005,            0.001402,            0.092125,            0.059413,             0.07869,           0.0092872,           0.0092872,           0.0092872
                  74,             0.09306,            0.074753,              0.0834,             0.16108,            0.013385,           0.0035298,          0.00063394,            0.091661,            0.060022,            0.078404,           0.0092773,           0.0092773,           0.0092773
                  75,            0.092262,            0.090383,            0.078815,             0.27187,           0.0041461,           0.0010784,            0.000308,            0.092614,             0.06227,            0.079009,           0.0092674,           0.0092674,           0.0092674
                  76,            0.093075,            0.090238,            0.080199,           0.0022088,            0.015253,           0.0016636,          0.00018398,            0.092573,            0.061979,            0.079402,           0.0092575,           0.0092575,           0.0092575
                  77,            0.093097,            0.083004,            0.078892,             0.12739,           0.0011645,          0.00029928,          5.4598e-05,            0.096042,            0.067597,            0.080299,           0.0092476,           0.0092476,           0.0092476
                  78,            0.092871,            0.077114,            0.081722,            0.099601,            0.011991,           0.0009105,          0.00021332,            0.093868,            0.063521,            0.079148,           0.0092377,           0.0092377,           0.0092377
                  79,            0.092254,            0.081466,            0.079437,             0.15777,            0.011753,            0.001292,          0.00027424,            0.092903,            0.065471,            0.078815,           0.0092278,           0.0092278,           0.0092278
                  80,            0.092387,            0.081852,            0.081066,             0.34246,            0.020741,            0.015486,           0.0024093,            0.091364,            0.058471,            0.077153,           0.0092179,           0.0092179,           0.0092179
                  81,            0.093008,            0.082883,            0.080733,             0.26791,            0.024041,           0.0086102,           0.0012378,            0.092527,            0.058679,            0.077808,            0.009208,            0.009208,            0.009208
                  82,            0.092454,            0.082437,            0.077836,             0.38563,            0.011159,           0.0015567,          0.00040906,             0.09269,            0.057312,            0.078146,           0.0091981,           0.0091981,           0.0091981
                  83,            0.093705,            0.083462,             0.07903,            0.047713,             0.03903,           0.0050823,           0.0013661,            0.093065,            0.060227,            0.077724,           0.0091882,           0.0091882,           0.0091882
                  84,            0.093053,            0.092999,             0.07825,             0.10117,            0.023102,           0.0029465,          0.00093644,             0.09281,            0.061916,            0.077845,           0.0091783,           0.0091783,           0.0091783
                  85,            0.091886,            0.075683,            0.076775,            0.075593,            0.026628,           0.0031568,          0.00051753,            0.091277,            0.060306,            0.077064,           0.0091684,           0.0091684,           0.0091684
                  86,            0.090331,            0.085568,            0.076057,             0.25816,            0.014333,           0.0026256,          0.00065074,            0.090539,            0.059999,            0.076408,           0.0091585,           0.0091585,           0.0091585
                  87,            0.092104,            0.089283,            0.079378,             0.17779,            0.039069,           0.0075431,           0.0012441,            0.090439,            0.058854,            0.076122,           0.0091486,           0.0091486,           0.0091486
                  88,             0.09119,            0.081468,            0.077786,             0.13823,            0.037824,           0.0068578,           0.0018774,            0.091984,            0.061722,            0.077169,           0.0091387,           0.0091387,           0.0091387
                  89,            0.091089,            0.089853,            0.076374,             0.17253,             0.03768,           0.0029511,          0.00073714,            0.090095,            0.059498,            0.076372,           0.0091288,           0.0091288,           0.0091288
                  90,             0.09126,            0.079135,            0.076309,            0.089239,            0.071557,           0.0068806,           0.0019622,             0.09033,            0.058343,            0.076385,           0.0091189,           0.0091189,           0.0091189
                  91,            0.091145,             0.07934,            0.080176,             0.10476,            0.053419,           0.0079225,           0.0018242,            0.089925,            0.058591,            0.076086,            0.009109,            0.009109,            0.009109
                  92,            0.089669,            0.079725,            0.078247,             0.22933,            0.021394,           0.0024769,          0.00046123,            0.090849,            0.060256,            0.076404,           0.0090991,           0.0090991,           0.0090991
                  93,            0.090268,            0.075842,            0.079285,             0.43461,            0.006261,           0.0061711,           0.0014271,            0.089563,            0.060888,            0.075005,           0.0090892,           0.0090892,           0.0090892
                  94,            0.091101,            0.086371,            0.078934,             0.11095,            0.048483,            0.008898,           0.0018156,            0.090118,             0.06297,            0.075091,           0.0090793,           0.0090793,           0.0090793
                  95,             0.09008,            0.082053,            0.077031,             0.47363,           0.0080016,           0.0074872,           0.0019764,            0.089638,            0.060493,            0.075221,           0.0090694,           0.0090694,           0.0090694
                  96,            0.091288,            0.079507,            0.080395,             0.14204,            0.053379,            0.012415,           0.0029182,            0.090418,            0.060262,            0.075582,           0.0090595,           0.0090595,           0.0090595
                  97,            0.090637,            0.083814,            0.076937,             0.35502,             0.02069,           0.0031938,          0.00068976,            0.091845,            0.061454,            0.076494,           0.0090496,           0.0090496,           0.0090496
                  98,            0.090196,            0.078003,            0.076018,             0.42881,            0.017565,            0.006856,           0.0018724,             0.09291,            0.058516,            0.076546,           0.0090397,           0.0090397,           0.0090397
                  99,            0.091491,            0.081447,            0.075195,             0.26109,            0.025686,            0.011871,           0.0048321,            0.089621,            0.065294,            0.075878,           0.0090298,           0.0090298,           0.0090298
                 100,            0.090776,            0.083919,            0.079349,             0.38217,            0.024007,            0.014057,           0.0025677,            0.090182,             0.06442,            0.075942,           0.0090199,           0.0090199,           0.0090199
                 101,            0.090738,            0.089127,            0.077926,             0.42985,            0.039682,           0.0086859,           0.0033207,            0.093305,             0.05712,            0.077109,             0.00901,             0.00901,             0.00901
                 102,            0.090797,            0.081162,             0.07737,             0.37812,            0.034855,            0.014166,           0.0035973,            0.090252,            0.058712,            0.074922,           0.0090001,           0.0090001,           0.0090001
                 103,            0.088844,             0.07814,             0.07782,             0.49988,            0.025093,            0.016783,           0.0035121,            0.088546,            0.058567,            0.074399,           0.0089902,           0.0089902,           0.0089902
                 104,            0.089193,              0.0785,            0.077521,             0.43708,            0.023589,            0.009202,           0.0027786,            0.091678,            0.058003,            0.075974,           0.0089803,           0.0089803,           0.0089803
                 105,             0.09094,            0.086052,            0.079937,               0.382,            0.021683,            0.012653,            0.003853,              0.0892,            0.059291,            0.074068,           0.0089704,           0.0089704,           0.0089704
                 106,            0.089364,            0.076909,            0.077321,             0.11833,            0.053217,           0.0077771,           0.0024153,            0.089366,            0.058352,            0.074596,           0.0089605,           0.0089605,           0.0089605
                 107,            0.087761,            0.087255,            0.075066,             0.34385,            0.046761,            0.007008,           0.0017364,            0.090036,            0.058686,            0.074839,           0.0089506,           0.0089506,           0.0089506
                 108,            0.089525,            0.081333,            0.077545,             0.51247,            0.015879,            0.010484,            0.003244,            0.088505,            0.057749,            0.074157,           0.0089407,           0.0089407,           0.0089407
                 109,            0.089046,            0.086201,            0.077232,             0.65606,            0.032934,            0.019385,           0.0067979,            0.088732,            0.058675,            0.073826,           0.0089308,           0.0089308,           0.0089308
                 110,            0.089455,            0.079556,            0.076868,             0.43549,            0.036799,            0.013939,           0.0040456,            0.088032,            0.058611,            0.072956,           0.0089209,           0.0089209,           0.0089209
                 111,            0.088817,            0.081751,            0.073638,             0.63934,            0.026663,            0.019383,           0.0046711,            0.089191,            0.058178,             0.07247,            0.008911,            0.008911,            0.008911
                 112,            0.088887,            0.082407,            0.076502,             0.53642,            0.036348,            0.016459,           0.0043597,              0.0887,            0.061481,             0.07215,           0.0089011,           0.0089011,           0.0089011
                 113,            0.089455,            0.089358,            0.075486,              0.5434,            0.037424,            0.022249,           0.0059482,            0.087287,            0.061498,            0.071631,           0.0088912,           0.0088912,           0.0088912
                 114,            0.089965,            0.081022,             0.07504,             0.48068,            0.036117,            0.017645,           0.0046496,            0.087252,            0.061177,            0.072455,           0.0088813,           0.0088813,           0.0088813
                 115,            0.089131,            0.085094,            0.075185,             0.66418,              0.0207,            0.023609,             0.00552,             0.08652,            0.060384,            0.072163,           0.0088714,           0.0088714,           0.0088714
                 116,            0.088314,             0.08282,            0.076839,             0.60006,            0.031336,            0.019317,           0.0037193,            0.086944,            0.060425,            0.072134,           0.0088615,           0.0088615,           0.0088615
                 117,            0.086266,            0.078687,            0.075064,             0.60484,            0.052397,            0.026189,           0.0071397,            0.086256,            0.059526,            0.071951,           0.0088516,           0.0088516,           0.0088516
                 118,              0.0886,            0.087796,            0.077326,             0.46859,            0.062654,            0.013031,           0.0033741,            0.088401,            0.058898,            0.072883,           0.0088417,           0.0088417,           0.0088417
                 119,            0.089369,             0.09305,              0.0751,             0.39792,            0.048143,            0.018215,           0.0067141,            0.087503,            0.062092,            0.072298,           0.0088318,           0.0088318,           0.0088318
                 120,            0.089387,            0.080549,            0.075465,              0.5436,           0.0077601,           0.0066638,           0.0018317,            0.094858,            0.057326,            0.078212,           0.0088219,           0.0088219,           0.0088219
                 121,            0.087991,            0.079716,              0.0764,             0.38128,            0.053532,            0.017939,           0.0053204,            0.086631,            0.059358,            0.071624,            0.008812,            0.008812,            0.008812
                 122,            0.086273,            0.087595,            0.077638,             0.62994,            0.019974,            0.010007,           0.0040251,            0.092352,            0.057606,            0.076295,           0.0088021,           0.0088021,           0.0088021
                 123,             0.08689,            0.079617,            0.077806,             0.64407,            0.028165,            0.015019,            0.005395,            0.088246,            0.058647,            0.072875,           0.0087922,           0.0087922,           0.0087922
                 124,            0.087357,             0.08236,            0.072583,             0.48284,            0.059151,            0.026415,           0.0091116,             0.08564,            0.058204,            0.070798,           0.0087823,           0.0087823,           0.0087823
                 125,            0.088597,            0.083105,            0.075809,             0.59975,            0.047049,            0.023127,           0.0089564,            0.086191,            0.058489,            0.071413,           0.0087724,           0.0087724,           0.0087724
                 126,            0.088369,            0.077257,            0.073722,             0.56572,            0.038662,            0.029414,            0.011701,            0.085602,            0.057688,            0.070276,           0.0087625,           0.0087625,           0.0087625
                 127,            0.087101,            0.083781,             0.07561,             0.57584,            0.043463,            0.028922,           0.0088012,            0.085472,            0.058583,            0.070542,           0.0087526,           0.0087526,           0.0087526
                 128,             0.08701,            0.078039,             0.07472,              0.4889,            0.064507,            0.019424,           0.0043221,            0.085086,            0.057886,            0.070868,           0.0087427,           0.0087427,           0.0087427
                 129,             0.08868,             0.08493,            0.074417,             0.22322,            0.094996,             0.02529,           0.0091128,            0.086796,            0.057384,            0.070852,           0.0087328,           0.0087328,           0.0087328
                 130,            0.087336,            0.083763,            0.073217,             0.44524,             0.05597,            0.014195,           0.0036659,            0.089494,            0.058414,            0.073577,           0.0087229,           0.0087229,           0.0087229
                 131,            0.086031,            0.087382,            0.073704,            0.012749,             0.13576,            0.030639,           0.0076048,            0.085406,            0.057481,            0.070759,            0.008713,            0.008713,            0.008713
                 132,            0.086895,            0.077474,            0.074545,             0.58918,            0.056384,            0.031115,            0.009778,             0.08518,            0.057662,            0.069934,           0.0087031,           0.0087031,           0.0087031
                 133,            0.086967,            0.081583,            0.072537,             0.69681,            0.057649,            0.038756,           0.0092937,            0.084914,             0.05789,            0.069884,           0.0086932,           0.0086932,           0.0086932
                 134,            0.087934,            0.078849,             0.07218,             0.64388,            0.030662,            0.033786,            0.010331,            0.085177,             0.06155,            0.070189,           0.0086833,           0.0086833,           0.0086833
                 135,            0.087091,            0.083722,            0.073907,             0.68918,            0.055747,            0.042599,            0.012475,            0.084738,            0.058072,            0.070172,           0.0086734,           0.0086734,           0.0086734
                 136,            0.086465,            0.083915,            0.074558,             0.60925,            0.044384,             0.03717,             0.00929,            0.084904,            0.058106,            0.069904,           0.0086635,           0.0086635,           0.0086635
                 137,            0.085068,             0.08614,            0.074942,             0.58903,             0.06349,            0.034015,            0.011034,            0.084747,            0.058462,            0.069617,           0.0086536,           0.0086536,           0.0086536
                 138,            0.085633,            0.085073,            0.075261,             0.56656,            0.067284,            0.057228,            0.018353,            0.083989,            0.059916,             0.06953,           0.0086437,           0.0086437,           0.0086437
                 139,            0.085387,            0.074156,            0.072259,              0.6709,            0.058916,            0.041596,            0.014755,             0.08364,            0.059054,            0.068262,           0.0086338,           0.0086338,           0.0086338
                 140,            0.087129,            0.082402,            0.074192,             0.63343,             0.04892,            0.038723,            0.010312,            0.083968,            0.057546,            0.068395,           0.0086239,           0.0086239,           0.0086239
                 141,            0.086502,            0.081661,            0.072812,             0.66317,            0.037289,            0.017236,           0.0051093,            0.089674,            0.059538,            0.074968,            0.008614,            0.008614,            0.008614
                 142,            0.085672,            0.072815,            0.074631,             0.56782,            0.060687,            0.029247,           0.0091012,            0.085955,            0.057914,            0.070333,           0.0086041,           0.0086041,           0.0086041
                 143,            0.084021,            0.082836,            0.076601,             0.70737,            0.034152,            0.039581,            0.014241,            0.084212,            0.058238,            0.068802,           0.0085942,           0.0085942,           0.0085942
                 144,            0.086554,            0.080724,            0.072802,             0.58048,            0.053593,            0.023109,           0.0084798,            0.085432,            0.058977,            0.069753,           0.0085843,           0.0085843,           0.0085843
                 145,            0.085175,            0.080225,            0.072004,             0.60184,            0.064993,            0.033508,            0.010408,             0.08551,            0.060686,            0.068135,           0.0085744,           0.0085744,           0.0085744
                 146,            0.084147,            0.074054,            0.073199,             0.67012,            0.041222,               0.022,           0.0074328,            0.087174,            0.060006,             0.07271,           0.0085645,           0.0085645,           0.0085645
                 147,            0.085116,             0.08498,            0.074816,               0.775,            0.034036,            0.032361,           0.0095618,            0.083789,            0.058393,              0.0673,           0.0085546,           0.0085546,           0.0085546
                 148,            0.086268,            0.081444,            0.072668,             0.76432,            0.042311,            0.023917,           0.0085714,            0.086837,            0.058769,            0.072155,           0.0085447,           0.0085447,           0.0085447
                 149,            0.084446,            0.088989,            0.071853,             0.75948,            0.039546,            0.037663,            0.011832,            0.082849,            0.057959,            0.067183,           0.0085348,           0.0085348,           0.0085348
                 150,            0.084188,            0.079377,            0.072085,             0.76397,            0.040811,            0.034761,           0.0084941,            0.083274,             0.05735,            0.067581,           0.0085249,           0.0085249,           0.0085249
